"","id","time","production"
"825","CHL",1998,0
"826","CHL",1999,0
"827","CHL",2000,0
"828","CHL",2001,0
"829","CHL",2002,0
"830","CHL",2003,0
"831","CHL",2004,0
"832","CHL",2005,0
"833","CHL",2006,0
"834","CHL",2007,0
"835","CHL",2008,0
"836","CHL",2009,0
"837","CHL",2010,0
"838","CHN",1980,596883.684476534
"839","CHN",1981,618860.835131247
"840","CHN",1982,647354.859451283
"841","CHN",1983,585585.052092887
"842","CHN",1984,577968.391438138
"843","CHN",1985,647766.651775136
"844","CHN",1986,575136.11868035
"845","CHN",1987,649396.213036202
"846","CHN",1988,602112.259649696
"847","CHN",1989,622774.813693753
"848","CHN",1990,655861.650356833
"849","CHN",1991,677456.182596431
"850","CHN",1992,615993.26195196
"851","CHN",1993,619696.455476805
"852","CHN",1994,669305.763251557
"853","CHN",1995,689193.534848874
"854","CHN",1996,616408.433099772
"855","CHN",1997,608245.746738214
"856","CHN",1998,683506.246531916
"857","CHN",1999,656561.273091998
"858","CHN",2000,666442.658490683
"859","CHN",2001,570084.637667881
"860","CHN",2002,655959.938669766
"861","CHN",2003,627282.754516753
"862","CHN",2004,650146.1078265
"863","CHN",2005,619393.815960513
"864","CHN",2006,661878.750461959
"865","CHN",2007,533585.871956079
"866","CHN",2008,686262.375958351
"867","CHN",2009,643793.204916049
"868","CHN",2010,647316.613165578
"869","CIV",1980,0
"870","CIV",1981,0
"871","CIV",1982,0
"872","CIV",1983,0
"873","CIV",1984,0
"874","CIV",1985,0
"875","CIV",1986,0
"876","CIV",1987,0
"877","CIV",1988,0
"878","CIV",1989,0
"879","CIV",1990,0
"880","CIV",1991,0
"881","CIV",1992,0
"882","CIV",1993,0
"883","CIV",1994,0
"884","CIV",1995,0
"885","CIV",1996,0
"886","CIV",1997,0
"887","CIV",1998,0
"888","CIV",1999,0
"889","CIV",2000,0
"890","CIV",2001,0
"891","CIV",2002,0
"892","CIV",2003,0
"893","CIV",2004,0
"894","CIV",2005,0
"895","CIV",2006,0
"896","CIV",2007,0
"897","CIV",2008,0
"898","CIV",2009,0
"899","CIV",2010,0
"900","CMR",1980,421.121125482321
"901","CMR",1981,406.251071343422
"902","CMR",1982,456.766927872896
"903","CMR",1983,443.594047834873
"904","CMR",1984,387.795369745493
"905","CMR",1985,437.664750699997
"906","CMR",1986,447.525187785625
"907","CMR",1987,396.364679300785
"908","CMR",1988,411.05848079443
"909","CMR",1989,419.134500958919
"910","CMR",1990,448.94372497201
"911","CMR",1991,380.184959665537
"912","CMR",1992,438.02643678546
"913","CMR",1993,473.393683134317
"914","CMR",1994,475.779762177467
"915","CMR",1995,452.47784599185
"916","CMR",1996,384.613085587025
"917","CMR",1997,435.708046244383
"918","CMR",1998,409.280719977617
"919","CMR",1999,515.700484273434
"920","CMR",2000,488.642474842072
"921","CMR",2001,442.848474653959
"922","CMR",2002,390.045676877499
"923","CMR",2003,463.547947002649
"924","CMR",2004,507.912299991846
"925","CMR",2005,438.914866168499
"926","CMR",2006,460.584830886126
"927","CMR",2007,389.919497559071
"928","CMR",2008,451.642276955843
"929","CMR",2009,455.367512793541
"930","CMR",2010,428.090368921757
"931","COD",1980,1290.86171000957
"932","COD",1981,1211.07213079214
"933","COD",1982,1190.14794990063
"934","COD",1983,1309.87654294014
"935","COD",1984,1229.34081940651
"936","COD",1985,1223.63871075392
"937","COD",1986,1200.45449029446
"938","COD",1987,1263.06109114885
"939","COD",1988,1339.51433353901
"940","COD",1989,1305.3087251687
"941","COD",1990,1344.89877789736
"942","COD",1991,1310.05907809734
